,-1,-2,-3
blocks.0.ln1_post.hook_normalized,tensor(-0.1442),tensor(0.6705),tensor(1.1608)
blocks.0.ln2_post.hook_normalized,tensor(-0.3911),tensor(0.6172),tensor(0.0711)
blocks.0.hook_resid_post,tensor(2.6311),tensor(-1.0709),tensor(-1.7203)
blocks.1.ln1_post.hook_normalized,tensor(0.1417),tensor(-0.3357),tensor(-0.0902)
blocks.1.ln2_post.hook_normalized,tensor(-0.5183),tensor(0.3167),tensor(0.1546)
blocks.2.ln1_post.hook_normalized,tensor(-0.1509),tensor(0.0619),tensor(0.0612)
blocks.2.ln2_post.hook_normalized,tensor(0.0485),tensor(0.1414),tensor(0.0457)
blocks.3.ln1_post.hook_normalized,tensor(0.2012),tensor(0.0806),tensor(0.2103)
blocks.3.ln2_post.hook_normalized,tensor(-0.1630),tensor(-0.3711),tensor(0.0163)
blocks.4.ln1_post.hook_normalized,tensor(0.1091),tensor(0.2930),tensor(0.0936)
blocks.4.ln2_post.hook_normalized,tensor(-0.1877),tensor(0.4508),tensor(0.1298)
blocks.5.ln1_post.hook_normalized,tensor(0.0334),tensor(0.0122),tensor(0.0123)
blocks.5.ln2_post.hook_normalized,tensor(0.0989),tensor(-0.0159),tensor(0.0336)
blocks.6.ln1_post.hook_normalized,tensor(0.0556),tensor(0.1411),tensor(0.1928)
blocks.6.ln2_post.hook_normalized,tensor(0.0798),tensor(0.4610),tensor(0.3572)
blocks.7.ln1_post.hook_normalized,tensor(0.4042),tensor(0.1791),tensor(0.1113)
blocks.7.ln2_post.hook_normalized,tensor(-0.1177),tensor(0.2924),tensor(0.2227)
blocks.8.ln1_post.hook_normalized,tensor(-0.1389),tensor(-0.2063),tensor(-0.3111)
blocks.8.ln2_post.hook_normalized,tensor(0.0687),tensor(0.3977),tensor(0.4260)
blocks.9.ln1_post.hook_normalized,tensor(-0.1664),tensor(-0.2384),tensor(-0.2303)
blocks.9.ln2_post.hook_normalized,tensor(-0.0722),tensor(0.3740),tensor(0.1342)
blocks.10.ln1_post.hook_normalized,tensor(0.0156),tensor(-0.0956),tensor(-0.0848)
blocks.10.ln2_post.hook_normalized,tensor(-0.2651),tensor(-0.3069),tensor(-0.2771)
blocks.11.ln1_post.hook_normalized,tensor(0.8100),tensor(0.2973),tensor(0.1121)
blocks.11.ln2_post.hook_normalized,tensor(-0.1248),tensor(0.6092),tensor(0.5317)
blocks.12.ln1_post.hook_normalized,tensor(0.1307),tensor(0.0508),tensor(-0.0903)
blocks.12.ln2_post.hook_normalized,tensor(0.1658),tensor(0.1250),tensor(-0.1989)
blocks.13.ln1_post.hook_normalized,tensor(0.2410),tensor(0.0311),tensor(-0.0323)
blocks.13.ln2_post.hook_normalized,tensor(-0.5531),tensor(-0.1434),tensor(-0.5132)
blocks.14.ln1_post.hook_normalized,tensor(-0.0723),tensor(-0.1726),tensor(-0.0784)
blocks.14.ln2_post.hook_normalized,tensor(-0.3388),tensor(0.2727),tensor(0.1246)
blocks.15.ln1_post.hook_normalized,tensor(0.0922),tensor(-0.0123),tensor(0.0165)
blocks.15.ln2_post.hook_normalized,tensor(-0.1445),tensor(0.2962),tensor(0.2533)
blocks.16.ln1_post.hook_normalized,tensor(0.5333),tensor(0.2111),tensor(0.0773)
blocks.16.ln2_post.hook_normalized,tensor(-0.3015),tensor(0.0282),tensor(-0.1396)
blocks.17.ln1_post.hook_normalized,tensor(-0.2706),tensor(0.3471),tensor(0.3964)
blocks.17.ln2_post.hook_normalized,tensor(-0.1819),tensor(0.1992),tensor(0.3760)
blocks.18.ln1_post.hook_normalized,tensor(0.1705),tensor(0.0151),tensor(0.0701)
blocks.18.ln2_post.hook_normalized,tensor(-0.3209),tensor(0.0919),tensor(0.3172)
blocks.19.ln1_post.hook_normalized,tensor(-0.4768),tensor(-0.3436),tensor(-0.1040)
blocks.19.ln2_post.hook_normalized,tensor(0.2668),tensor(0.2112),tensor(0.1390)
blocks.20.ln1_post.hook_normalized,tensor(-0.0800),tensor(0.0625),tensor(0.2237)
blocks.20.ln2_post.hook_normalized,tensor(-0.6638),tensor(0.3316),tensor(0.4766)
blocks.20.hook_resid_post,tensor(-1.8867),tensor(8.0238),tensor(6.9058)
