feature,coef
blocks.20.ln2_post.hook_normalized,6.113380254990793
blocks.6.ln1_post.hook_normalized,4.9459691626334585
blocks.18.ln2_post.hook_normalized,4.049909291690927
blocks.17.ln1_post.hook_normalized,3.2378648958563954
blocks.15.ln1_post.hook_normalized,2.87466702578784
blocks.16.ln2_post.hook_normalized,2.7376323432637526
blocks.12.ln1_post.hook_normalized,2.2254194597314427
blocks.14.ln2_post.hook_normalized,2.0756487118562257
blocks.7.ln1_post.hook_normalized,1.9674235629900936
blocks.19.ln2_post.hook_normalized,1.9419669875565166
