feature,coef
blocks.19.ln2_post.hook_normalized,5.172009947035072
blocks.20.ln1_post.hook_normalized,5.113681137677895
blocks.18.ln2_post.hook_normalized,4.64682192639922
blocks.6.ln1_post.hook_normalized,3.563007207921665
blocks.3.ln2_post.hook_normalized,3.3589631479048645
blocks.17.ln2_post.hook_normalized,3.2419034111252016
blocks.20.ln2_post.hook_normalized,2.8989673978174486
blocks.19.ln1_post.hook_normalized,2.8347727328963073
blocks.18.ln1_post.hook_normalized,2.5302385517474724
blocks.2.ln2_post.hook_normalized,2.2784758349443734
