model,steering_vector,position,method,set,r2,intercept,top_features
gemma,harmfull,-1,lars,negative,0.47225749331259614,,blocks.0.hook_resid_pre:0.0000; blocks.8.hook_mlp_out:0.0055; blocks.8.hook_attn_out:0.0000; blocks.7.hook_mlp_out:0.0000; blocks.7.hook_attn_out:0.0000; blocks.6.hook_mlp_out:0.0000; blocks.6.hook_attn_out:0.0000; blocks.5.hook_mlp_out:0.0000; blocks.5.hook_attn_out:0.0000; blocks.9.hook_attn_out:0.0000
gemma,harmfull,-1,lars,positive,0.5646550567809925,,blocks.0.hook_resid_pre:0.0000; blocks.8.hook_mlp_out:0.0000; blocks.8.hook_attn_out:0.0000; blocks.7.hook_mlp_out:0.0000; blocks.7.hook_attn_out:0.0000; blocks.6.hook_mlp_out:0.0000; blocks.6.hook_attn_out:0.0000; blocks.5.hook_mlp_out:0.0000; blocks.5.hook_attn_out:0.0934; blocks.9.hook_attn_out:0.0000
gemma,harmfull,-2,lars,negative,0.41273725198761835,,blocks.0.hook_resid_pre:0.0000; blocks.8.hook_mlp_out:0.0000; blocks.8.hook_attn_out:0.0000; blocks.7.hook_mlp_out:0.0000; blocks.7.hook_attn_out:0.0000; blocks.6.hook_mlp_out:0.0000; blocks.6.hook_attn_out:0.0000; blocks.5.hook_mlp_out:0.0000; blocks.5.hook_attn_out:0.0000; blocks.9.hook_attn_out:0.0000
gemma,harmfull,-2,lars,positive,0.7198088175777555,,blocks.0.hook_resid_pre:0.0000; blocks.8.hook_mlp_out:0.0000; blocks.8.hook_attn_out:0.0000; blocks.7.hook_mlp_out:0.0000; blocks.7.hook_attn_out:0.0000; blocks.6.hook_mlp_out:0.0000; blocks.6.hook_attn_out:0.0000; blocks.5.hook_mlp_out:0.0000; blocks.5.hook_attn_out:0.0000; blocks.9.hook_attn_out:0.0000
gemma,harmfull,-3,lars,negative,0.2849185667922677,,blocks.0.hook_resid_pre:0.0000; blocks.8.hook_mlp_out:0.0363; blocks.8.hook_attn_out:0.0000; blocks.7.hook_mlp_out:0.0000; blocks.7.hook_attn_out:0.0000; blocks.6.hook_mlp_out:0.0000; blocks.6.hook_attn_out:0.0000; blocks.5.hook_mlp_out:0.0000; blocks.5.hook_attn_out:0.0000; blocks.9.hook_attn_out:0.0000
gemma,harmfull,-3,lars,positive,0.7998764139019019,,blocks.0.hook_resid_pre:0.0000; blocks.8.hook_mlp_out:0.0000; blocks.8.hook_attn_out:0.0000; blocks.7.hook_mlp_out:0.0000; blocks.7.hook_attn_out:0.0000; blocks.6.hook_mlp_out:0.0000; blocks.6.hook_attn_out:0.0000; blocks.5.hook_mlp_out:0.0000; blocks.5.hook_attn_out:0.0843; blocks.9.hook_attn_out:0.0000
gemma,harmfull,-1,diff,pos-vs-neg,,,blocks.10.hook_resid_pre:2.7113; blocks.0.hook_resid_pre:1.7970; blocks.0.hook_attn_out:-0.8437; blocks.1.hook_attn_out:-0.5618; blocks.5.hook_mlp_out:0.4823; blocks.7.hook_mlp_out:0.4053; blocks.3.hook_mlp_out:0.3047; blocks.6.hook_mlp_out:0.2816; blocks.1.hook_mlp_out:-0.2614; blocks.9.hook_mlp_out:0.2458
gemma,harmfull,-2,diff,pos-vs-neg,,,blocks.10.hook_resid_pre:2.6188; blocks.0.hook_resid_pre:1.3291; blocks.0.hook_attn_out:0.5382; blocks.6.hook_attn_out:0.4249; blocks.1.hook_attn_out:-0.3427; blocks.2.hook_mlp_out:-0.3183; blocks.8.hook_mlp_out:0.3011; blocks.0.hook_mlp_out:-0.2848; blocks.8.hook_attn_out:0.1958; blocks.1.hook_mlp_out:-0.1769
gemma,harmfull,-3,diff,pos-vs-neg,,,blocks.10.hook_resid_pre:3.3920; blocks.0.hook_attn_out:0.4806; blocks.0.hook_mlp_out:0.4737; blocks.8.hook_mlp_out:0.4520; blocks.5.hook_mlp_out:0.3413; blocks.7.hook_mlp_out:0.2916; blocks.9.hook_mlp_out:0.2886; blocks.6.hook_mlp_out:0.2027; blocks.3.hook_mlp_out:0.1876; blocks.5.hook_attn_out:0.1787
gemma2,1161,-1,lars,negative,0.647165616782201,,blocks.0.ln1_post.hook_normalized:5.5333; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.0000; blocks.13.ln2_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.0000; blocks.10.ln2_post.hook_normalized:0.0000
gemma2,1161,-1,lars,positive,0.43456411665128547,,blocks.0.ln1_post.hook_normalized:3.6498; blocks.11.ln1_post.hook_normalized:0.0000; blocks.11.ln2_post.hook_normalized:0.0000; blocks.12.ln1_post.hook_normalized:0.0000; blocks.12.ln2_post.hook_normalized:0.0000; blocks.13.ln1_post.hook_normalized:0.0000; blocks.13.ln2_post.hook_normalized:0.0000; blocks.14.ln1_post.hook_normalized:0.0000; blocks.14.ln2_post.hook_normalized:0.0000; blocks.10.ln2_post.hook_normalized:0.0000
