model,steering_vector,position,method,set,r2,intercept,top_features
gemma2,1161,-1,Component Similarities,All,,,20.mlp:-0.0771; 16.attention:0.0654; 0.residual:0.0583; 13.mlp:-0.0566; 17.attention:-0.0469; 4.mlp:-0.0398; 6.attention:0.0378; 4.attention:0.0374; 0.mlp:-0.0364; 14.mlp:-0.0361
gemma2,1161,-2,Component Similarities,All,,,20.residual:0.1099; 4.attention:0.0620; 6.attention:0.0620; 19.attention:-0.0505; 11.mlp:0.0474; 3.mlp:-0.0464; 4.mlp:0.0413; 20.mlp:0.0410; 2.mlp:0.0403; 7.mlp:0.0386
gemma2,1161,-3,Component Similarities,All,,,20.residual:0.1523; 20.mlp:0.0894; 0.attention:0.0752; 8.mlp:0.0718; 6.attention:0.0708; 0.residual:-0.0654; 17.mlp:0.0630; 7.mlp:0.0566; 4.attention:0.0564; 19.mlp:0.0498
gemma2,1200,-1,Component Similarities,All,,,20.mlp:-0.0649; 1.mlp:-0.0630; 3.attention:0.0630; 16.attention:0.0564; 0.residual:0.0544; 13.mlp:-0.0457; 19.attention:-0.0420; 4.attention:0.0374; 7.attention:0.0374; 11.attention:0.0371
gemma2,1200,-2,Component Similarities,All,,,20.residual:0.0938; 3.mlp:-0.0659; 11.mlp:0.0537; 1.mlp:0.0461; 4.attention:0.0430; 6.mlp:0.0427; 15.attention:0.0427; 4.mlp:0.0398; 6.attention:0.0374; 19.attention:-0.0320
gemma2,1200,-3,Component Similarities,All,,,20.residual:0.1250; 20.attention:0.0747; 0.attention:0.0688; 11.mlp:0.0659; 0.residual:-0.0596; 19.mlp:0.0542; 4.attention:0.0486; 6.attention:0.0391; 17.attention:0.0381; 20.mlp:0.0356
gemma2,137,-1,Component Similarities,All,,,19.mlp:0.0471; 0.residual:0.0464; 9.attention:-0.0449; 20.mlp:-0.0435; 3.mlp:-0.0417; 2.attention:-0.0376; 0.mlp:-0.0364; 14.mlp:-0.0347; 19.attention:-0.0344; 8.attention:-0.0320
gemma2,137,-2,Component Similarities,All,,,20.residual:0.0928; 19.mlp:0.0576; 3.mlp:-0.0566; 11.mlp:0.0530; 4.mlp:0.0505; 19.attention:-0.0493; 7.mlp:0.0471; 0.attention:0.0457; 9.attention:-0.0405; 6.mlp:0.0378
gemma2,137,-3,Component Similarities,All,,,20.residual:0.1328; 20.mlp:0.0869; 0.attention:0.0845; 18.mlp:0.0732; 19.mlp:0.0669; 8.mlp:0.0574; 17.mlp:0.0530; 7.mlp:0.0498; 2.mlp:0.0457; 17.attention:0.0447
gemma2,3949,-1,Component Similarities,All,,,0.residual:0.0781; 20.mlp:-0.0542; 12.attention:0.0498; 3.mlp:-0.0496; 13.mlp:-0.0491; 17.attention:-0.0483; 8.attention:-0.0471; 9.attention:-0.0471; 19.mlp:0.0447; 10.attention:-0.0317
gemma2,3949,-2,Component Similarities,All,,,0.residual:-0.0820; 3.mlp:-0.0649; 20.residual:0.0581; 8.attention:-0.0532; 7.mlp:0.0522; 19.attention:-0.0500; 9.attention:-0.0496; 4.mlp:0.0483; 4.attention:0.0452; 11.mlp:0.0437
gemma2,3949,-3,Component Similarities,All,,,0.residual:-0.0850; 20.residual:0.0781; 0.attention:0.0737; 20.mlp:0.0659; 8.mlp:0.0625; 8.attention:-0.0603; 11.mlp:0.0571; 9.attention:-0.0481; 13.mlp:-0.0481; 19.mlp:0.0476
gemma2,4086,-1,Component Similarities,All,,,0.residual:0.0864; 16.attention:0.0825; 20.residual:0.0791; 7.attention:0.0664; 11.attention:0.0649; 17.attention:-0.0630; 1.mlp:-0.0601; 19.mlp:0.0579; 20.mlp:-0.0525; 4.attention:0.0500
