model,steering_vector,position,method,set,r2,intercept,top_features
gemma2,1161,-1,diff,pos-vs-neg,,,20.residual:-2.1719; 0.residual:1.1749; 13.mlp:-0.7548; 20.mlp:-0.7209; 16.attention:0.6832; 11.attention:0.5318; 0.mlp:-0.5162; 14.mlp:-0.4744; 7.attention:0.4209; 1.attention:0.3904
gemma2,1161,-2,diff,pos-vs-neg,,,20.residual:9.5965; 11.mlp:0.6195; 4.attention:0.5760; 9.attention:-0.5688; 0.residual:-0.4907; 1.attention:-0.4246; 6.mlp:0.4245; 6.attention:0.4135; 7.mlp:0.4074; 8.mlp:0.4053
gemma2,1161,-3,diff,pos-vs-neg,,,20.residual:14.0321; 0.attention:1.2027; 0.residual:-1.1560; 20.mlp:0.7055; 8.mlp:0.7033; 7.mlp:0.5684; 17.mlp:0.5622; 0.mlp:0.5412; 11.mlp:0.5175; 9.attention:-0.5021
gemma2,1200,-1,diff,pos-vs-neg,,,20.residual:2.0460; 0.residual:0.9676; 11.attention:0.6369; 3.attention:0.6046; 7.attention:0.5974; 13.mlp:-0.5934; 1.mlp:-0.5567; 20.mlp:-0.5537; 16.attention:0.5486; 0.mlp:-0.4525
gemma2,1200,-2,diff,pos-vs-neg,,,20.residual:8.4401; 11.mlp:0.6831; 3.mlp:-0.4707; 6.mlp:0.4645; 4.attention:0.4491; 0.residual:-0.4047; 4.mlp:0.3861; 15.attention:0.3656; 7.attention:0.3448; 0.attention:0.3367
gemma2,1200,-3,diff,pos-vs-neg,,,20.residual:11.4441; 0.attention:1.0891; 0.residual:-1.0040; 11.mlp:0.7686; 4.attention:0.4605; 19.mlp:0.4252; 20.attention:0.3973; 6.mlp:0.3230; 17.attention:0.3220; 15.mlp:0.3143
gemma2,137,-1,diff,pos-vs-neg,,,0.residual:0.8786; 9.attention:-0.7229; 0.mlp:-0.4852; 14.mlp:-0.4521; 19.mlp:0.4388; 13.mlp:-0.4216; 20.mlp:-0.3768; 2.attention:-0.3604; 7.mlp:0.3315; 10.mlp:-0.3139
gemma2,137,-2,diff,pos-vs-neg,,,20.residual:7.9320; 11.mlp:0.7149; 0.residual:-0.6887; 9.attention:-0.6218; 0.attention:0.5688; 7.mlp:0.5028; 4.mlp:0.4814; 19.mlp:0.4594; 6.mlp:0.4225; 1.attention:-0.4166
gemma2,137,-3,diff,pos-vs-neg,,,20.residual:12.2220; 0.attention:1.1922; 20.mlp:0.6882; 9.attention:-0.6805; 18.mlp:0.5901; 8.mlp:0.5868; 0.residual:-0.5832; 19.mlp:0.5779; 7.mlp:0.4795; 17.mlp:0.4721
gemma2,3949,-1,diff,pos-vs-neg,,,0.residual:1.4464; 20.residual:-1.3944; 9.attention:-0.7397; 13.mlp:-0.6558; 12.attention:0.5923; 20.mlp:-0.4283; 1.attention:0.4115; 17.attention:-0.3962; 14.mlp:-0.3888; 8.attention:-0.3866
gemma2,3949,-2,diff,pos-vs-neg,,,20.residual:4.3681; 0.residual:-1.6429; 9.attention:-0.7355; 7.mlp:0.5698; 11.mlp:0.5450; 4.mlp:0.4726; 3.mlp:-0.4716; 8.attention:-0.4516; 4.attention:0.4155; 8.mlp:0.4033
gemma2,3949,-3,diff,pos-vs-neg,,,20.residual:7.4100; 0.residual:-1.4185; 0.attention:1.1203; 9.attention:-0.6968; 11.mlp:0.6868; 8.mlp:0.6132; 13.mlp:-0.5358; 20.mlp:0.5337; 8.attention:-0.4917; 10.attention:-0.4321
gemma2,4086,-1,diff,pos-vs-neg,,,20.residual:7.1536; 0.residual:1.8693; 11.attention:1.1226; 7.attention:1.0001; 16.attention:0.8342; 14.mlp:-0.6160; 1.mlp:-0.5931; 1.attention:0.5862; 4.attention:0.5294; 17.attention:-0.5007
gemma2,4086,-2,diff,pos-vs-neg,,,20.residual:15.5677; 0.attention:0.8004; 11.mlp:0.7010; 0.residual:-0.6110; 4.attention:0.5445; 5.attention:0.4886; 6.attention:0.4761; 16.attention:0.4549; 8.mlp:0.4530; 6.mlp:0.4416
gemma2,4086,-3,diff,pos-vs-neg,,,20.residual:18.9038; 0.attention:1.3856; 4.attention:0.5866; 11.mlp:0.5775; 0.residual:-0.5744; 8.mlp:0.5599; 5.attention:0.5594; 11.attention:0.5107; 16.attention:0.5069; 18.mlp:0.4644
gemma2,4287,-1,diff,pos-vs-neg,,,0.residual:3.7384; 0.mlp:-0.8874; 1.mlp:-0.8335; 7.attention:0.5203; 11.attention:0.5147; 13.mlp:-0.5129; 3.mlp:-0.4947; 0.attention:-0.4665; 8.mlp:-0.4451; 20.residual:-0.4187
gemma2,4287,-2,diff,pos-vs-neg,,,0.residual:-2.0516; 3.mlp:-0.5834; 1.mlp:0.5387; 20.residual:-0.5326; 0.mlp:0.5051; 8.mlp:-0.4498; 7.attention:0.4364; 19.attention:-0.3854; 13.mlp:-0.3782; 11.attention:0.3415
gemma2,4287,-3,diff,pos-vs-neg,,,20.residual:-5.3770; 0.residual:-2.4258; 0.attention:1.0302; 13.mlp:-0.7108; 8.mlp:-0.4258; 12.mlp:-0.4031; 7.attention:0.3849; 19.attention:-0.3360; 9.attention:0.3045; 6.mlp:-0.2983
gemma2,5548,-1,diff,pos-vs-neg,,,0.residual:2.6311; 20.residual:-1.8867; 11.attention:0.8100; 20.mlp:-0.6638; 13.mlp:-0.5531; 16.attention:0.5333; 1.mlp:-0.5183; 19.attention:-0.4768; 7.attention:0.4042; 0.mlp:-0.3911
gemma2,5548,-2,diff,pos-vs-neg,,,20.residual:8.0238; 0.residual:-1.0709; 0.attention:0.6705; 0.mlp:0.6172; 11.mlp:0.6092; 6.mlp:0.4610; 4.mlp:0.4508; 8.mlp:0.3977; 9.mlp:0.3740; 3.mlp:-0.3711
gemma2,5548,-3,diff,pos-vs-neg,,,20.residual:6.9058; 0.residual:-1.7203; 0.attention:1.1608; 11.mlp:0.5317; 13.mlp:-0.5132; 20.mlp:0.4766; 8.mlp:0.4260; 17.attention:0.3964; 17.mlp:0.3760; 6.mlp:0.3572
gemma2,6832,-1,diff,pos-vs-neg,,,20.residual:4.0403; 0.residual:0.9690; 0.mlp:-0.6408; 9.attention:-0.6349; 20.mlp:-0.4565; 10.mlp:-0.3655; 13.attention:-0.3565; 8.mlp:0.3554; 11.attention:0.3421; 19.mlp:0.3271
gemma2,6832,-2,diff,pos-vs-neg,,,20.residual:10.7429; 0.residual:-1.3115; 9.attention:-0.8101; 11.mlp:0.8070; 8.mlp:0.7643; 0.attention:0.6180; 3.mlp:-0.5030; 10.mlp:-0.4580; 10.attention:-0.4546; 19.mlp:0.4503
