model,steering_vector,position,method,set,r2,intercept,top_features
gemma2,1161,-1,lars,negative,0.647165616782201,,0.attention; 11.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 10.mlp
gemma2,1161,-1,lars,positive,0.4345641166512854,,0.attention; 11.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 10.mlp
gemma2,1161,-2,lars,negative,0.7225981925485399,,0.attention; 11.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 10.mlp
gemma2,1161,-2,lars,positive,0.2955097114925225,,0.attention; 11.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 10.mlp
gemma2,1161,-3,lars,negative,0.6173182652657063,,0.attention; 11.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 10.mlp
gemma2,1161,-3,lars,positive,0.7633611560304612,,0.attention; 11.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 10.mlp
gemma2,1200,-1,lars,negative,0.5578945925017076,,0.attention; 11.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 10.mlp
gemma2,1200,-1,lars,positive,0.6696032737440403,,0.attention; 11.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 10.mlp
gemma2,1200,-2,lars,negative,0.616259622339115,,0.attention; 11.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 10.mlp
gemma2,1200,-2,lars,positive,0.1824145567585436,,0.attention; 11.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 10.mlp
gemma2,1200,-3,lars,negative,0.6156051435277912,,0.attention; 11.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 10.mlp
gemma2,1200,-3,lars,positive,0.23444262331106,,0.attention; 11.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 10.mlp
gemma2,137,-1,lars,negative,0.6166403112925061,,0.attention; 11.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 10.mlp
gemma2,137,-1,lars,positive,0.5379723242137036,,0.attention; 11.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 10.mlp
gemma2,137,-2,lars,negative,0.5913113963038271,,0.attention; 11.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 10.mlp
gemma2,137,-2,lars,positive,0.6103233341109313,,0.attention; 11.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 10.mlp
gemma2,137,-3,lars,negative,0.6464120278329732,,0.attention; 11.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 10.mlp
gemma2,137,-3,lars,positive,0.6405841830717773,,0.attention; 11.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 10.mlp
gemma2,3949,-1,lars,negative,0.5696449296913528,,0.attention; 11.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 10.mlp
gemma2,3949,-1,lars,positive,0.7307994747105775,,0.attention; 11.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 10.mlp
gemma2,3949,-2,lars,negative,0.6483824978555499,,0.attention; 11.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 10.mlp
gemma2,3949,-2,lars,positive,0.3539971491312189,,0.attention; 11.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 10.mlp
gemma2,3949,-3,lars,negative,0.6373232094878487,,0.attention; 11.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 10.mlp
gemma2,3949,-3,lars,positive,0.6949337356755985,,0.attention; 11.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 10.mlp
gemma2,4086,-1,lars,negative,0.4879507486395162,,0.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 15.attention; 15.mlp
gemma2,4086,-1,lars,positive,0.6046509289595112,,0.attention; 11.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 10.mlp
gemma2,4086,-2,lars,negative,0.5871488557894387,,0.attention; 11.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 10.mlp
gemma2,4086,-2,lars,positive,0.7093064395873501,,0.attention; 11.attention; 11.mlp; 12.attention; 12.mlp; 13.attention; 13.mlp; 14.attention; 14.mlp; 10.mlp
