model,steering_vector,position,method,set,r2,intercept,top_features
gemma2,1161,-1,lars,negative,0.6471656167822015,,18.mlp;0.attention;17.attention;8.mlp;6.mlp;4.mlp;20.mlp;17.mlp;19.mlp;6.attention;9.mlp;11.mlp;13.attention;10.mlp;11.attention;20.attention;13.mlp;3.attention;3.mlp;8.attention;7.mlp;16.attention;19.attention;16.mlp;14.mlp;4.attention;5.attention;9.attention;15.attention;1.attention;12.attention;2.attention;0.residual;5.mlp;2.mlp;0.mlp;14.attention;7.attention;10.attention;18.attention;12.mlp;15.mlp;1.mlp
gemma2,1161,-1,lars,positive,0.4345641166512858,,18.mlp;20.mlp;0.attention;15.mlp;13.mlp;4.mlp;6.attention;20.attention;10.mlp;5.attention;3.attention;6.mlp;14.mlp;17.attention;13.attention;4.attention;19.mlp;8.attention;12.mlp;8.mlp;11.attention;15.attention;7.mlp;11.mlp;3.mlp;2.attention;19.attention;17.mlp;9.mlp;16.attention;0.residual;2.mlp;14.attention;5.mlp;0.mlp;12.attention;10.attention;16.mlp;1.mlp;7.attention;18.attention;1.attention;9.attention
gemma2,1161,-2,lars,negative,0.7225981925485399,,20.attention;8.mlp;20.mlp;19.mlp;17.mlp;18.mlp;13.attention;6.mlp;15.mlp;15.attention;11.mlp;14.mlp;5.attention;17.attention;9.mlp;12.attention;0.mlp;7.mlp;11.attention;16.mlp;13.mlp;19.attention;0.residual;2.mlp;7.attention;12.mlp;3.mlp;0.attention;9.attention;1.attention;5.mlp;3.attention;14.attention;4.mlp;18.attention;6.attention;2.attention;1.mlp;16.attention;10.mlp;10.attention;8.attention;4.attention
gemma2,1161,-2,lars,positive,0.2955097114925223,,15.mlp;20.mlp;0.attention;19.mlp;18.mlp;19.attention;17.attention;3.mlp;20.attention;18.attention;13.attention;14.mlp;13.mlp;17.mlp;12.mlp;1.attention;10.mlp;15.attention;6.attention;7.attention;5.attention;2.attention;5.mlp;0.residual;2.mlp;8.mlp;7.mlp;0.mlp;4.attention;16.attention;1.mlp;9.mlp;8.attention;3.attention;4.mlp;10.attention;14.attention;11.mlp;6.mlp;9.attention;11.attention;12.attention;16.mlp
gemma2,1161,-3,lars,negative,0.6173182652657057,,18.mlp;20.mlp;19.mlp;17.attention;17.mlp;13.attention;6.attention;14.mlp;16.mlp;3.attention;15.attention;12.attention;1.mlp;0.residual;1.attention;16.attention;7.attention;4.mlp;8.mlp;9.mlp;18.attention;19.attention;10.mlp;15.mlp;11.attention;4.attention;13.mlp;2.mlp;2.attention;7.mlp;11.mlp;6.mlp;5.attention;12.mlp;14.attention;8.attention;10.attention;9.attention;20.attention;0.mlp;5.mlp;3.mlp;0.attention
gemma2,1161,-3,lars,positive,0.763361156030461,,19.mlp;18.mlp;20.mlp;19.attention;20.attention;6.mlp;14.mlp;15.mlp;0.residual;5.attention;2.mlp;13.mlp;0.attention;3.attention;11.mlp;5.mlp;3.mlp;12.mlp;14.attention;15.attention;8.mlp;17.attention;10.mlp;10.attention;7.attention;13.attention;8.attention;16.mlp;12.attention;4.mlp;1.mlp;2.attention;1.attention;0.mlp;4.attention;18.attention;16.attention;11.attention;9.attention;17.mlp;6.attention;7.mlp;9.mlp
gemma2,1200,-1,lars,negative,0.5578945925017078,,18.mlp;0.attention;2.mlp;17.mlp;20.attention;16.mlp;20.mlp;8.attention;6.attention;15.attention;19.mlp;11.mlp;3.mlp;10.mlp;6.mlp;13.mlp;10.attention;19.attention;9.mlp;14.mlp;11.attention;3.attention;16.attention;5.mlp;4.attention;0.residual;7.attention;5.attention;14.attention;9.attention;12.attention;4.mlp;18.attention;13.attention;1.attention;17.attention;8.mlp;1.mlp;12.mlp;2.attention;15.mlp;7.mlp;0.mlp
gemma2,1200,-1,lars,positive,0.6696032737440404,,18.mlp;10.mlp;14.mlp;20.mlp;17.mlp;19.mlp;15.mlp;0.attention;18.attention;5.attention;9.attention;10.attention;13.mlp;13.attention;16.attention;7.mlp;15.attention;16.mlp;11.mlp;14.attention;8.mlp;4.mlp;5.mlp;0.residual;17.attention;19.attention;6.attention;12.mlp;7.attention;20.attention;2.attention;3.attention;3.mlp;9.mlp;2.mlp;6.mlp;8.attention;1.mlp;1.attention;12.attention;0.mlp;11.attention;4.attention
gemma2,1200,-2,lars,negative,0.6162596223391146,,18.mlp;20.attention;19.mlp;13.attention;15.mlp;20.mlp;16.attention;15.attention;14.mlp;11.mlp;9.mlp;6.mlp;6.attention;0.residual;17.mlp;7.mlp;5.attention;11.attention;3.attention;17.attention;8.attention;8.mlp;14.attention;5.mlp;2.attention;10.mlp;3.mlp;1.mlp;12.attention;0.mlp;1.attention;7.attention;13.mlp;12.mlp;4.attention;2.mlp;19.attention;4.mlp;18.attention;16.mlp;10.attention;0.attention;9.attention
gemma2,1200,-2,lars,positive,0.1824145567585436,,20.mlp;17.mlp;19.attention;15.mlp;11.mlp;13.attention;18.mlp;17.attention;13.mlp;14.mlp;3.mlp;10.mlp;19.mlp;9.mlp;6.mlp;20.attention;4.attention;7.mlp;16.mlp;0.attention;7.attention;16.attention;9.attention;0.residual;11.attention;3.attention;2.attention;8.attention;12.mlp;18.attention;12.attention;5.mlp;14.attention;6.attention;4.mlp;15.attention;8.mlp;1.attention;2.mlp;5.attention;0.mlp;1.mlp;10.attention
