model,steering_vector,position,method,set,r2,intercept,top_features
gemma,harmfull,-1,lars,negative,0.47225749331259614,,blocks.5.hook_attn_out:0.1734; blocks.9.hook_mlp_out:0.1981; blocks.7.hook_attn_out:0.1771; blocks.8.hook_mlp_out:0.1082; blocks.9.hook_attn_out:0.0214; blocks.5.hook_mlp_out:0.0266; blocks.0.hook_attn_out:0.0055; blocks.6.hook_mlp_out:0.0000; blocks.3.hook_attn_out:0.0000; blocks.7.hook_mlp_out:0.0000; blocks.6.hook_attn_out:0.0000; blocks.8.hook_attn_out:0.0000; blocks.2.hook_mlp_out:0.0000; blocks.0.hook_resid_pre:0.0000; blocks.1.hook_attn_out:0.0000; blocks.1.hook_mlp_out:0.0000; blocks.4.hook_mlp_out:0.0000; blocks.2.hook_attn_out:0.0000; blocks.0.hook_mlp_out:0.0000; blocks.3.hook_mlp_out:0.0000; blocks.4.hook_attn_out:0.0000
gemma,harmfull,-1,lars,positive,0.5646550567809926,,blocks.8.hook_mlp_out:0.5183; blocks.5.hook_mlp_out:0.1861; blocks.9.hook_mlp_out:0.1959; blocks.3.hook_mlp_out:0.0934; blocks.7.hook_mlp_out:0.0719; blocks.6.hook_mlp_out:0.0411; blocks.5.hook_attn_out:0.0023; blocks.0.hook_resid_pre:0.0000; blocks.7.hook_attn_out:0.0000; blocks.8.hook_attn_out:0.0000; blocks.9.hook_attn_out:0.0000; blocks.4.hook_mlp_out:0.0000; blocks.4.hook_attn_out:0.0000; blocks.0.hook_mlp_out:0.0000; blocks.2.hook_mlp_out:0.0000; blocks.6.hook_attn_out:0.0000; blocks.3.hook_attn_out:0.0000; blocks.1.hook_mlp_out:0.0000; blocks.1.hook_attn_out:0.0000; blocks.0.hook_attn_out:0.0000; blocks.2.hook_attn_out:0.0000
gemma,harmfull,-2,lars,negative,0.41273725198761846,,blocks.5.hook_mlp_out:0.2308; blocks.9.hook_mlp_out:0.2052; blocks.6.hook_mlp_out:0.1383; blocks.7.hook_mlp_out:0.1078; blocks.7.hook_attn_out:0.0507; blocks.8.hook_mlp_out:0.0025; blocks.4.hook_mlp_out:0.0007; blocks.3.hook_mlp_out:0.0000; blocks.0.hook_resid_pre:0.0000; blocks.5.hook_attn_out:0.0000; blocks.0.hook_attn_out:0.0000; blocks.9.hook_attn_out:0.0000; blocks.8.hook_attn_out:0.0000; blocks.6.hook_attn_out:0.0000; blocks.0.hook_mlp_out:0.0000; blocks.1.hook_attn_out:0.0000; blocks.4.hook_attn_out:0.0000; blocks.2.hook_mlp_out:0.0000; blocks.1.hook_mlp_out:0.0000; blocks.2.hook_attn_out:0.0000; blocks.3.hook_attn_out:0.0000
gemma,harmfull,-2,lars,positive,0.7198088175777555,,blocks.8.hook_mlp_out:0.4448; blocks.9.hook_mlp_out:0.3740; blocks.5.hook_mlp_out:0.3935; blocks.5.hook_attn_out:0.3594; blocks.7.hook_mlp_out:0.1457; blocks.7.hook_attn_out:0.2448; blocks.6.hook_mlp_out:0.1513; blocks.3.hook_attn_out:0.0000; blocks.0.hook_resid_pre:0.0000; blocks.9.hook_attn_out:0.0000; blocks.8.hook_attn_out:0.0000; blocks.6.hook_attn_out:0.0000; blocks.3.hook_mlp_out:0.0000; blocks.4.hook_mlp_out:0.0000; blocks.2.hook_mlp_out:0.0000; blocks.0.hook_mlp_out:0.0000; blocks.0.hook_attn_out:0.0000; blocks.1.hook_mlp_out:0.0000; blocks.1.hook_attn_out:0.0000; blocks.2.hook_attn_out:0.0000; blocks.4.hook_attn_out:0.0000
gemma,harmfull,-3,lars,negative,0.2849185667922677,,blocks.9.hook_mlp_out:0.1067; blocks.7.hook_mlp_out:0.0847; blocks.6.hook_mlp_out:0.0811; blocks.5.hook_mlp_out:0.1007; blocks.8.hook_mlp_out:0.0372; blocks.7.hook_attn_out:0.0730; blocks.0.hook_attn_out:0.0363; blocks.5.hook_attn_out:0.0000; blocks.0.hook_resid_pre:0.0000; blocks.3.hook_mlp_out:0.0000; blocks.9.hook_attn_out:0.0000; blocks.3.hook_attn_out:0.0000; blocks.6.hook_attn_out:0.0000; blocks.4.hook_attn_out:0.0000; blocks.0.hook_mlp_out:0.0000; blocks.1.hook_mlp_out:0.0000; blocks.4.hook_mlp_out:0.0000; blocks.8.hook_attn_out:0.0000; blocks.2.hook_attn_out:0.0000; blocks.1.hook_attn_out:0.0000; blocks.2.hook_mlp_out:0.0000
gemma,harmfull,-3,lars,positive,0.7998764139019018,,blocks.8.hook_mlp_out:0.5406; blocks.9.hook_mlp_out:0.6443; blocks.7.hook_mlp_out:0.1985; blocks.5.hook_mlp_out:0.3035; blocks.5.hook_attn_out:0.2696; blocks.7.hook_attn_out:0.1054; blocks.3.hook_mlp_out:0.0843; blocks.6.hook_mlp_out:0.0000; blocks.0.hook_resid_pre:0.0000; blocks.3.hook_attn_out:0.0000; blocks.9.hook_attn_out:0.0000; blocks.8.hook_attn_out:0.0000; blocks.2.hook_mlp_out:0.0000; blocks.6.hook_attn_out:0.0000; blocks.0.hook_mlp_out:0.0000; blocks.2.hook_attn_out:0.0000; blocks.0.hook_attn_out:0.0000; blocks.4.hook_mlp_out:0.0000; blocks.1.hook_mlp_out:0.0000; blocks.4.hook_attn_out:0.0000; blocks.1.hook_attn_out:0.0000
gemma,harmfull,-1,diff,pos-vs-neg,,,blocks.10.hook_resid_pre:2.7113; blocks.0.hook_resid_pre:1.7970; blocks.0.hook_attn_out:-0.8437; blocks.1.hook_attn_out:-0.5618; blocks.5.hook_mlp_out:0.4823; blocks.7.hook_mlp_out:0.4053; blocks.3.hook_mlp_out:0.3047; blocks.6.hook_mlp_out:0.2816; blocks.1.hook_mlp_out:-0.2614; blocks.9.hook_mlp_out:0.2458; blocks.0.hook_mlp_out:0.2151; blocks.8.hook_mlp_out:0.1409; blocks.2.hook_mlp_out:0.1142; blocks.9.hook_attn_out:0.1021; blocks.7.hook_attn_out:0.1017; blocks.8.hook_attn_out:0.0992; blocks.5.hook_attn_out:0.0745; blocks.3.hook_attn_out:-0.0702; blocks.6.hook_attn_out:0.0700; blocks.2.hook_attn_out:-0.0405; blocks.4.hook_attn_out:0.0368; blocks.4.hook_mlp_out:0.0176
gemma,harmfull,-2,diff,pos-vs-neg,,,blocks.10.hook_resid_pre:2.6188; blocks.0.hook_resid_pre:1.3291; blocks.0.hook_attn_out:0.5382; blocks.6.hook_attn_out:0.4249; blocks.1.hook_attn_out:-0.3427; blocks.2.hook_mlp_out:-0.3183; blocks.8.hook_mlp_out:0.3011; blocks.0.hook_mlp_out:-0.2848; blocks.8.hook_attn_out:0.1958; blocks.1.hook_mlp_out:-0.1769; blocks.7.hook_mlp_out:0.1588; blocks.9.hook_attn_out:0.1399; blocks.6.hook_mlp_out:0.1393; blocks.7.hook_attn_out:0.1340; blocks.9.hook_mlp_out:0.1125; blocks.5.hook_attn_out:0.1071; blocks.4.hook_attn_out:0.0789; blocks.5.hook_mlp_out:0.0668; blocks.3.hook_mlp_out:0.0174; blocks.3.hook_attn_out:-0.0128; blocks.2.hook_attn_out:0.0120; blocks.4.hook_mlp_out:-0.0015
gemma,harmfull,-3,diff,pos-vs-neg,,,blocks.10.hook_resid_pre:3.3920; blocks.0.hook_attn_out:0.4806; blocks.0.hook_mlp_out:0.4737; blocks.8.hook_mlp_out:0.4520; blocks.5.hook_mlp_out:0.3413; blocks.7.hook_mlp_out:0.2916; blocks.9.hook_mlp_out:0.2886; blocks.6.hook_mlp_out:0.2027; blocks.3.hook_mlp_out:0.1876; blocks.5.hook_attn_out:0.1787; blocks.0.hook_resid_pre:0.1695; blocks.7.hook_attn_out:0.1648; blocks.6.hook_attn_out:0.1507; blocks.9.hook_attn_out:0.0996; blocks.8.hook_attn_out:0.0990; blocks.1.hook_attn_out:-0.0770; blocks.2.hook_mlp_out:-0.0764; blocks.3.hook_attn_out:0.0615; blocks.2.hook_attn_out:-0.0581; blocks.1.hook_mlp_out:-0.0397; blocks.4.hook_attn_out:0.0360; blocks.4.hook_mlp_out:-0.0346
gemma,harmfull,-1,Component Similarities,All,,,blocks.10.hook_resid_pre:0.2172; blocks.5.hook_mlp_out:0.1812; blocks.7.hook_mlp_out:0.1621; blocks.6.hook_mlp_out:0.1071; blocks.3.hook_mlp_out:0.0824; blocks.9.hook_mlp_out:0.0820; blocks.7.hook_attn_out:0.0594; blocks.8.hook_attn_out:0.0574; blocks.9.hook_attn_out:0.0529; blocks.8.hook_mlp_out:0.0521; blocks.5.hook_attn_out:0.0412; blocks.1.hook_attn_out:-0.0335; blocks.1.hook_mlp_out:-0.0333; blocks.6.hook_attn_out:0.0301; blocks.2.hook_mlp_out:0.0224; blocks.0.hook_resid_pre:0.0168; blocks.3.hook_attn_out:-0.0152; blocks.4.hook_attn_out:0.0134; blocks.0.hook_attn_out:-0.0129; blocks.0.hook_mlp_out:0.0085; blocks.2.hook_attn_out:-0.0070; blocks.4.hook_mlp_out:0.0062
