model,steering_vector,position,method,set,r2,intercept,top_features
gemma2,695,-1,Component Similarities,All,,,20.mlp:-0.0889;0.residual:0.0728;20.residual:-0.0540;17.attention:-0.0488;0.mlp:-0.0481;6.attention:-0.0420;1.mlp:-0.0356;13.attention:-0.0356;4.attention:0.0339;8.attention:-0.0337;16.attention:0.0327;4.mlp:-0.0286;5.mlp:0.0276;10.attention:-0.0261;15.attention:0.0259;9.mlp:-0.0239;13.mlp:-0.0227;18.attention:0.0226;16.mlp:-0.0212;19.attention:-0.0197;0.attention:-0.0192;1.attention:0.0171;10.mlp:-0.0170;11.attention:0.0157;14.mlp:-0.0155;12.attention:0.0151;12.mlp:-0.0151;7.attention:0.0148;11.mlp:0.0143;9.attention:-0.0143;6.mlp:-0.0138;18.mlp:-0.0118;20.attention:0.0107;17.mlp:-0.0104;2.mlp:0.0093;8.mlp:0.0077;2.attention:0.0071;3.mlp:-0.0063;14.attention:-0.0050;3.attention:0.0049;7.mlp:0.0041;15.mlp:0.0033;19.mlp:-0.0026;5.attention:0.0010
gemma2,695,-2,Component Similarities,All,,,3.mlp:-0.0767;0.residual:-0.0693;11.mlp:0.0603;13.attention:-0.0581;0.attention:0.0566;6.attention:-0.0410;18.attention:-0.0410;10.mlp:-0.0400;7.mlp:0.0376;8.mlp:0.0376;4.attention:0.0344;9.attention:-0.0322;8.attention:-0.0312;10.attention:-0.0264;4.mlp:0.0259;15.attention:-0.0232;20.mlp:-0.0231;20.attention:0.0216;7.attention:-0.0208;6.mlp:0.0195;2.mlp:0.0188;5.mlp:0.0186;20.residual:0.0181;2.attention:-0.0179;13.mlp:-0.0164;3.attention:-0.0159;17.mlp:-0.0139;15.mlp:0.0123;14.mlp:0.0121;19.mlp:-0.0118;12.mlp:-0.0118;18.mlp:-0.0117;16.attention:-0.0104;17.attention:0.0103;9.mlp:-0.0101;1.mlp:-0.0089;19.attention:-0.0089;5.attention:-0.0087;14.attention:-0.0064;0.mlp:0.0063;11.attention:-0.0053;12.attention:-0.0045;1.attention:0.0039;16.mlp:-0.0027
gemma2,695,-3,Component Similarities,All,,,20.residual:0.0718;0.attention:0.0708;7.mlp:0.0547;4.attention:0.0459;13.attention:-0.0457;8.attention:-0.0413;11.mlp:0.0413;6.attention:-0.0366;8.mlp:0.0344;17.mlp:0.0332;9.attention:-0.0317;10.mlp:-0.0315;14.mlp:0.0315;18.attention:-0.0286;15.mlp:0.0284;4.mlp:0.0266;2.attention:-0.0259;1.attention:0.0243;10.attention:-0.0239;1.mlp:-0.0228;3.mlp:-0.0225;17.attention:0.0219;20.attention:0.0214;12.attention:-0.0209;6.mlp:0.0198;5.mlp:0.0194;15.attention:-0.0176;13.mlp:-0.0161;19.attention:0.0147;7.attention:-0.0129;12.mlp:-0.0128;2.mlp:-0.0120;20.mlp:-0.0114;16.attention:-0.0112;11.attention:-0.0092;14.attention:-0.0071;5.attention:-0.0060;9.mlp:-0.0054;3.attention:-0.0052;16.mlp:0.0034;0.residual:-0.0023;18.mlp:0.0018;19.mlp:0.0018;0.mlp:-0.0005
gemma2,3949,-1,Component Similarities,All,,,0.residual:0.0972;20.mlp:-0.0645;17.attention:-0.0613;6.attention:-0.0566;13.mlp:-0.0447;9.attention:-0.0420;10.attention:-0.0400;8.attention:-0.0398;4.attention:0.0383;12.attention:0.0378;7.mlp:0.0359;14.mlp:-0.0349;10.mlp:-0.0337;1.mlp:-0.0322;3.mlp:-0.0306;20.residual:-0.0284;1.attention:0.0281;16.attention:0.0271;9.mlp:-0.0227;13.attention:-0.0223;4.mlp:-0.0221;0.mlp:-0.0219;2.mlp:0.0219;19.mlp:0.0209;8.mlp:0.0166;11.attention:0.0154;20.attention:0.0121;19.attention:-0.0120;7.attention:0.0118;18.attention:0.0118;15.attention:-0.0109;17.mlp:-0.0091;6.mlp:-0.0079;3.attention:-0.0078;15.mlp:-0.0071;11.mlp:0.0067;12.mlp:0.0063;5.mlp:-0.0034;2.attention:-0.0031;5.attention:-0.0027;14.attention:-0.0013;16.mlp:0.0010;18.mlp:0.0004;0.attention:-0.0002
gemma2,3949,-2,Component Similarities,All,,,0.residual:-0.0850;20.residual:0.0669;7.mlp:0.0625;8.attention:-0.0544;3.mlp:-0.0535;4.attention:0.0515;9.attention:-0.0498;11.mlp:0.0452;4.mlp:0.0435;18.attention:-0.0432;15.mlp:0.0427;8.mlp:0.0420;13.attention:-0.0420;13.mlp:-0.0410;20.attention:0.0403;19.attention:-0.0374;0.attention:0.0366;10.attention:-0.0359;6.attention:-0.0276;17.attention:0.0239;5.mlp:0.0232;3.attention:-0.0231;2.mlp:0.0212;14.mlp:-0.0211;10.mlp:-0.0210;6.mlp:0.0190;2.attention:-0.0175;17.mlp:0.0175;12.attention:0.0173;20.mlp:0.0172;7.attention:-0.0154;14.attention:-0.0148;16.attention:-0.0120;11.attention:-0.0084;15.attention:-0.0072;19.mlp:-0.0058;0.mlp:0.0058;16.mlp:0.0056;18.mlp:0.0056;9.mlp:-0.0039;12.mlp:-0.0027;5.attention:0.0023;1.mlp:-0.0014;1.attention:0.0011
gemma2,3949,-3,Component Similarities,All,,,20.residual:0.0977;0.attention:0.0640;11.mlp:0.0557;18.mlp:0.0557;17.mlp:0.0544;8.mlp:0.0535;8.attention:-0.0527;17.attention:0.0522;9.attention:-0.0505;7.mlp:0.0491;0.residual:-0.0464;4.attention:0.0437;20.attention:0.0413;15.mlp:0.0400;3.mlp:-0.0378;3.attention:-0.0371;10.attention:-0.0361;13.mlp:-0.0361;18.attention:-0.0356;0.mlp:0.0349;10.mlp:-0.0347;2.attention:-0.0320;5.mlp:0.0291;16.mlp:0.0283;20.mlp:0.0282;13.attention:-0.0278;4.mlp:0.0232;14.mlp:0.0215;6.mlp:0.0210;6.attention:-0.0206;19.mlp:0.0186;15.attention:-0.0165;7.attention:-0.0164;2.mlp:0.0154;12.attention:0.0144;16.attention:-0.0142;14.attention:-0.0092;1.attention:0.0068;11.attention:-0.0066;1.mlp:0.0052;9.mlp:0.0045;12.mlp:0.0028;5.attention:-0.0016;19.attention:0.0009
gemma2,7988,-1,Component Similarities,All,,,0.residual:0.1084;20.mlp:-0.0747;16.attention:0.0723;17.attention:-0.0571;17.mlp:-0.0547;4.mlp:-0.0527;1.mlp:-0.0500;4.attention:0.0437;5.mlp:0.0371;6.attention:-0.0369;0.mlp:-0.0349;19.mlp:0.0347;1.attention:0.0337;14.attention:-0.0317;8.attention:-0.0289;20.attention:0.0280;20.residual:0.0251;6.mlp:-0.0248;18.attention:0.0234;15.mlp:0.0233;3.attention:0.0221;2.mlp:0.0201;7.attention:0.0194;10.mlp:-0.0188;11.mlp:0.0167;19.attention:-0.0150;11.attention:0.0143;12.attention:0.0119;16.mlp:-0.0108;9.mlp:-0.0098;8.mlp:0.0092;15.attention:0.0082;2.attention:0.0078;13.attention:0.0075;13.mlp:0.0061;14.mlp:-0.0057;0.attention:0.0048;9.attention:-0.0027;5.attention:-0.0024;3.mlp:-0.0015;18.mlp:-0.0006;10.attention:-0.0005;12.mlp:-0.0004;7.mlp:0.0003
gemma2,7988,-2,Component Similarities,All,,,20.residual:0.1348;15.mlp:0.0659;4.attention:0.0649;0.attention:0.0591;10.mlp:-0.0569;8.mlp:0.0476;3.mlp:-0.0466;19.mlp:0.0393;13.mlp:0.0376;5.mlp:0.0337;11.mlp:0.0332;20.attention:0.0330;14.attention:-0.0320;3.attention:0.0304;8.attention:-0.0282;4.mlp:0.0261;0.mlp:0.0260;19.attention:0.0249;10.attention:-0.0229;16.attention:0.0227;13.attention:-0.0209;14.mlp:0.0192;9.mlp:0.0189;16.mlp:0.0138;18.mlp:0.0138;6.attention:-0.0137;17.attention:0.0135;1.attention:0.0124;1.mlp:0.0121;0.residual:-0.0111;20.mlp:0.0109;17.mlp:-0.0104;7.mlp:0.0101;9.attention:-0.0097;15.attention:-0.0087;2.mlp:0.0069;18.attention:-0.0043;7.attention:0.0026;2.attention:-0.0023;12.attention:-0.0015;11.attention:0.0015;6.mlp:0.0008;5.attention:0.0004;12.mlp:-0.0003
gemma2,7988,-3,Component Similarities,All,,,20.residual:0.1719;3.mlp:-0.0757;4.attention:0.0718;18.mlp:0.0649;0.attention:0.0593;15.mlp:0.0586;10.mlp:-0.0520;20.mlp:0.0491;20.attention:0.0449;5.mlp:0.0437;17.attention:0.0347;0.residual:0.0339;19.attention:0.0339;16.mlp:0.0332;1.attention:0.0317;3.attention:0.0292;19.mlp:0.0283;14.mlp:0.0264;8.attention:-0.0256;14.attention:-0.0254;16.attention:0.0240;13.mlp:0.0227;2.mlp:0.0210;17.mlp:0.0184;8.mlp:0.0168;12.attention:0.0161;9.mlp:-0.0114;18.attention:-0.0093;6.attention:-0.0088;11.attention:0.0087;2.attention:-0.0085;9.attention:-0.0079;7.mlp:0.0071;10.attention:-0.0070;6.mlp:-0.0065;5.attention:-0.0064;12.mlp:0.0033;0.mlp:0.0032;11.mlp:0.0023;13.attention:-0.0019;4.mlp:0.0014;1.mlp:0.0012;7.attention:0.0008;15.attention:0.0003
gemma2,1161,-1,Component Similarities,All,,,20.mlp:-0.0850;0.residual:0.0811;16.attention:0.0649;17.attention:-0.0610;13.mlp:-0.0605;6.attention:-0.0454;14.mlp:-0.0437;4.attention:0.0430;0.mlp:-0.0400;4.mlp:-0.0391;16.mlp:-0.0376;20.residual:-0.0376;9.mlp:-0.0364;11.attention:0.0337;1.mlp:-0.0332;5.mlp:0.0330;7.attention:0.0306;10.attention:-0.0292;6.mlp:-0.0291;0.attention:-0.0265;11.mlp:-0.0262;1.attention:0.0260;8.attention:-0.0260;10.mlp:-0.0259;8.mlp:0.0255;13.attention:0.0236;3.attention:0.0199;12.attention:0.0156;15.attention:-0.0130;18.attention:0.0122;19.mlp:0.0118;17.mlp:-0.0109;2.mlp:0.0106;14.attention:-0.0106;9.attention:-0.0100;3.mlp:-0.0090;18.mlp:0.0074;19.attention:-0.0068;15.mlp:-0.0053;7.mlp:0.0046;5.attention:-0.0032;2.attention:0.0011;12.mlp:0.0009;20.attention:-0.0003
