model,steering_vector,position,method,set,r2,intercept,top_features
gemma2,695,-1,diff,pos-vs-neg,,,20.residual:-2.9355;0.residual:1.0661;0.mlp:-0.6472;20.mlp:-0.6299;13.attention:-0.3248;13.mlp:-0.2984;1.mlp:-0.2954;8.attention:-0.2853;16.attention:0.2840;1.attention:0.2817;10.attention:-0.2635;0.attention:-0.2369;11.attention:0.2320;5.mlp:0.2304;9.attention:-0.2143;17.attention:-0.2101;7.attention:0.2099;19.attention:-0.2095;4.mlp:-0.1996;4.attention:0.1987;15.attention:0.1824;12.attention:0.1794;19.mlp:0.1730;10.mlp:-0.1687;16.mlp:-0.1663;12.mlp:-0.1643;9.mlp:-0.1599;14.mlp:-0.1596;11.mlp:0.1565;8.mlp:0.1244;18.mlp:-0.1041;17.mlp:-0.0885;18.attention:0.0806;6.mlp:-0.0751;6.attention:0.0689;2.mlp:0.0655;3.attention:0.0645;2.attention:-0.0602;20.attention:-0.0509;15.mlp:0.0393;7.mlp:0.0375;3.mlp:-0.0372;14.attention:-0.0249;5.attention:0.0204
gemma2,695,-2,diff,pos-vs-neg,,,0.residual:-0.8265;0.attention:0.6351;11.mlp:0.5445;20.residual:0.4579;13.attention:-0.4215;9.attention:-0.4109;10.mlp:-0.3481;7.mlp:0.3056;3.mlp:-0.2944;8.mlp:0.2883;18.attention:-0.2632;10.attention:-0.2529;7.attention:-0.2384;4.attention:0.1921;8.attention:-0.1900;19.attention:-0.1698;17.attention:0.1639;15.attention:-0.1523;6.attention:0.1505;4.mlp:0.1482;5.attention:-0.1225;18.mlp:-0.1215;5.mlp:0.1204;13.mlp:-0.1199;2.mlp:0.1163;6.mlp:0.1152;14.mlp:0.1086;12.mlp:-0.1085;3.attention:-0.0855;19.mlp:0.0815;11.attention:-0.0779;2.attention:-0.0757;15.mlp:0.0693;1.attention:0.0658;17.mlp:-0.0625;12.attention:-0.0550;0.mlp:0.0512;14.attention:-0.0425;9.mlp:-0.0404;1.mlp:-0.0402;20.mlp:0.0362;20.attention:0.0196;16.attention:-0.0115;16.mlp:-0.0075
gemma2,695,-3,diff,pos-vs-neg,,,20.residual:4.7125;0.attention:0.6383;9.attention:-0.4145;11.mlp:0.3462;7.mlp:0.3456;13.attention:-0.3356;8.mlp:0.3203;4.attention:0.2842;1.attention:0.2832;17.attention:0.2492;8.attention:-0.2461;10.attention:-0.2308;10.mlp:-0.2298;17.mlp:0.2251;19.mlp:0.2115;14.mlp:0.2075;1.mlp:-0.1866;15.mlp:0.1846;18.attention:-0.1704;4.mlp:0.1635;12.attention:-0.1630;7.attention:-0.1584;13.mlp:-0.1567;15.attention:-0.1432;12.mlp:-0.1368;6.mlp:0.1304;6.attention:0.1262;5.mlp:0.1255;3.mlp:-0.1223;0.residual:-0.1166;11.attention:-0.1161;2.mlp:-0.0896;2.attention:-0.0845;19.attention:-0.0806;5.attention:-0.0747;16.mlp:0.0613;14.attention:-0.0584;16.attention:-0.0467;20.mlp:-0.0235;18.mlp:-0.0224;20.attention:0.0192;3.attention:0.0026;0.mlp:-0.0017;9.mlp:0.0009
gemma2,3949,-1,diff,pos-vs-neg,,,0.residual:1.1969;20.residual:-0.9565;9.attention:-0.6153;13.mlp:-0.5657;1.attention:0.4168;12.attention:0.4078;20.mlp:-0.4000;14.mlp:-0.3997;10.mlp:-0.3948;10.attention:-0.3510;19.mlp:0.3481;7.mlp:0.3388;8.attention:-0.3181;3.mlp:-0.3097;1.mlp:-0.2818;0.mlp:-0.2698;4.attention:0.2561;17.attention:-0.2458;16.attention:0.2396;11.attention:0.2345;8.mlp:0.1994;13.attention:-0.1984;7.attention:0.1831;4.mlp:-0.1734;2.mlp:0.1599;19.attention:-0.1473;15.attention:-0.1028;9.mlp:-0.0892;2.attention:-0.0858;11.mlp:0.0823;12.mlp:0.0820;17.mlp:-0.0665;6.attention:0.0660;5.mlp:-0.0624;15.mlp:-0.0581;0.attention:-0.0580;3.attention:-0.0505;5.attention:-0.0402;6.mlp:-0.0270;16.mlp:0.0173;14.attention:0.0160;18.attention:-0.0102;18.mlp:-0.0100;20.attention:-0.0070
gemma2,3949,-2,diff,pos-vs-neg,,,20.residual:3.3350;0.residual:-1.1704;9.attention:-0.6779;7.mlp:0.5892;0.attention:0.4643;11.mlp:0.4469;13.mlp:-0.3883;8.attention:-0.3858;8.mlp:0.3811;10.attention:-0.3665;4.attention:0.3664;18.attention:-0.3417;13.attention:-0.3230;15.mlp:0.3079;19.attention:-0.3022;4.mlp:0.2924;17.attention:0.2643;3.mlp:-0.2538;20.mlp:0.2448;6.attention:0.2219;10.mlp:-0.2219;7.attention:-0.2048;14.mlp:-0.1836;5.mlp:0.1745;17.mlp:0.1575;12.attention:0.1479;2.mlp:0.1407;6.mlp:0.1344;11.attention:-0.1336;3.attention:-0.1332;20.attention:0.1086;19.mlp:0.0831;14.attention:-0.0709;16.attention:-0.0688;9.mlp:0.0683;0.mlp:0.0548;5.attention:0.0519;2.attention:-0.0510;16.mlp:0.0477;12.mlp:-0.0368;15.attention:-0.0363;1.mlp:-0.0354;1.attention:0.0316;18.mlp:-0.0176
gemma2,3949,-3,diff,pos-vs-neg,,,20.residual:5.7519;9.attention:-0.6656;0.attention:0.6401;0.residual:-0.6164;8.mlp:0.4923;11.mlp:0.4907;17.attention:0.4743;17.mlp:0.3696;10.attention:-0.3583;8.attention:-0.3561;13.mlp:-0.3378;7.mlp:0.3335;19.mlp:0.3185;10.mlp:-0.2904;18.mlp:0.2828;4.attention:0.2775;16.mlp:0.2603;15.mlp:0.2497;20.mlp:0.2412;18.attention:-0.2370;0.mlp:0.2302;13.attention:-0.2219;7.attention:-0.2159;5.mlp:0.2029;3.attention:-0.2023;3.mlp:-0.1992;6.attention:0.1817;9.mlp:0.1651;14.mlp:0.1540;6.mlp:0.1522;2.attention:-0.1468;4.mlp:0.1414;12.attention:0.1397;20.attention:0.1318;19.attention:-0.1294;15.attention:-0.1117;16.attention:-0.0973;1.attention:0.0903;11.attention:-0.0891;2.mlp:0.0699;14.attention:-0.0532;1.mlp:-0.0457;12.mlp:0.0169;5.attention:-0.0142
gemma2,7988,-1,diff,pos-vs-neg,,,20.residual:2.6428;0.residual:1.7804;16.attention:0.6849;20.mlp:-0.5975;17.mlp:-0.5339;1.mlp:-0.4904;19.mlp:0.4853;1.attention:0.4740;0.mlp:-0.4671;4.mlp:-0.3896;4.attention:0.3690;7.attention:0.3015;3.attention:0.2846;10.mlp:-0.2792;5.mlp:0.2731;15.mlp:0.2534;8.attention:-0.2431;6.mlp:-0.2368;14.attention:-0.2324;11.attention:0.2306;11.mlp:0.2093;17.attention:-0.2007;12.attention:0.1305;18.attention:0.1190;8.mlp:0.1122;3.mlp:0.1115;19.attention:-0.1107;20.attention:0.0831;6.attention:0.0664;13.attention:0.0640;14.mlp:-0.0640;16.mlp:-0.0614;2.mlp:0.0556;9.attention:-0.0438;2.attention:0.0410;15.attention:0.0401;13.mlp:0.0399;10.attention:0.0252;5.attention:-0.0218;12.mlp:0.0193;0.attention:0.0125;18.mlp:-0.0104;7.mlp:-0.0095;9.mlp:-0.0054
gemma2,7988,-2,diff,pos-vs-neg,,,20.residual:9.8441;0.attention:0.7114;10.mlp:-0.5919;15.mlp:0.5276;4.attention:0.5106;19.mlp:0.4630;8.mlp:0.3971;13.mlp:0.3571;11.mlp:0.3252;16.attention:0.3035;5.mlp:0.2780;17.attention:0.2378;9.mlp:0.2349;0.mlp:0.2317;6.attention:0.2036;10.attention:-0.2019;14.attention:-0.1969;20.mlp:0.1828;8.attention:-0.1690;1.attention:0.1669;14.mlp:0.1652;13.attention:-0.1492;4.mlp:0.1403;3.attention:0.1345;9.attention:-0.1282;0.residual:-0.1155;19.attention:0.1128;16.mlp:0.1022;20.attention:0.0940;7.mlp:0.0895;3.mlp:-0.0846;18.mlp:0.0834;17.mlp:-0.0624;15.attention:-0.0607;2.attention:0.0600;12.attention:-0.0551;18.attention:-0.0340;2.mlp:-0.0265;1.mlp:0.0232;7.attention:0.0185;12.mlp:0.0165;5.attention:0.0153;11.attention:0.0074;6.mlp:-0.0028
gemma2,7988,-3,diff,pos-vs-neg,,,20.residual:11.2817;4.attention:0.6157;0.attention:0.5607;10.mlp:-0.4946;15.mlp:0.4444;18.mlp:0.4335;1.attention:0.3753;19.mlp:0.3719;0.residual:0.3672;17.attention:0.3465;20.mlp:0.3446;5.mlp:0.3419;16.attention:0.3324;16.mlp:0.2485;6.attention:0.1996;3.mlp:-0.1967;14.mlp:0.1953;3.attention:0.1856;8.mlp:0.1739;13.mlp:0.1721;20.attention:0.1588;8.attention:-0.1561;14.attention:-0.1482;17.mlp:0.1366;12.attention:0.1325;11.attention:0.1139;19.attention:0.0984;9.attention:-0.0955;6.mlp:-0.0642;18.attention:-0.0583;5.attention:-0.0573;1.mlp:-0.0502;10.attention:-0.0394;7.mlp:0.0336;11.mlp:0.0310;12.mlp:0.0308;4.mlp:-0.0304;2.mlp:0.0251;0.mlp:0.0228;13.attention:-0.0223;9.mlp:-0.0098;7.attention:-0.0058;2.attention:0.0040;15.attention:0.0010
gemma2,1161,-1,diff,pos-vs-neg,,,20.residual:-2.3056;0.residual:1.0311;13.mlp:-0.7343;20.mlp:-0.7185;16.attention:0.6037;0.mlp:-0.5545;14.mlp:-0.5076;11.attention:0.5017;7.attention:0.4513;1.attention:0.4206;16.mlp:-0.3728;1.mlp:-0.3600;4.mlp:-0.3323;4.attention:0.3205;0.attention:-0.3142;11.mlp:-0.2986;19.mlp:0.2951;10.mlp:-0.2936;5.mlp:0.2845;8.mlp:0.2743;6.mlp:-0.2728;9.mlp:-0.2576;13.attention:0.2453;17.attention:-0.2451;10.attention:-0.2341;8.attention:-0.2186;3.attention:0.1923;12.attention:0.1723;9.attention:-0.1434;6.attention:0.1239;19.attention:-0.1166;15.attention:-0.0971;17.mlp:-0.0924;3.mlp:-0.0812;14.attention:-0.0701;20.attention:-0.0601;18.mlp:0.0596;2.mlp:0.0565;15.mlp:-0.0509;7.mlp:0.0498;5.attention:-0.0355;18.attention:0.0218;2.attention:0.0156;12.mlp:0.0027
