model,steering_vector,position,method,set,r2,intercept,top_features
gemma2,695,-1,lars,negative,0.7226299835368599,,20.mlp;3.mlp;6.attention;18.mlp;0.attention;8.mlp;0.residual;17.mlp;19.mlp;14.mlp;6.mlp;12.mlp;11.mlp;17.attention;13.attention;15.mlp;13.mlp;16.mlp;11.attention;7.mlp;15.attention;7.attention;20.attention;10.mlp;9.mlp;16.attention;5.mlp;19.attention;4.attention;1.attention;5.attention;3.attention;0.mlp;8.attention;10.attention;9.attention;2.mlp;4.mlp;12.attention;14.attention;1.mlp;18.attention;2.attention
gemma2,695,-1,lars,positive,0.4874221691725436,,0.residual;20.mlp;3.mlp;0.mlp;15.attention;16.attention;5.mlp;10.mlp;19.mlp;1.attention;1.mlp;6.mlp;0.attention;11.attention;15.mlp;4.mlp;13.attention;17.mlp;18.mlp;8.mlp;16.mlp;17.attention;7.mlp;4.attention;10.attention;19.attention;8.attention;2.attention;7.attention;14.attention;14.mlp;13.mlp;3.attention;11.mlp;2.mlp;9.mlp;18.attention;9.attention;5.attention;12.mlp;12.attention;6.attention;20.attention
gemma2,695,-2,lars,negative,0.3565603968702311,,20.mlp;3.mlp;0.residual;6.attention;17.attention;18.mlp;8.mlp;19.mlp;13.attention;6.mlp;15.mlp;1.attention;15.attention;17.mlp;14.mlp;0.attention;16.mlp;10.mlp;19.attention;5.mlp;13.mlp;11.mlp;20.attention;7.mlp;12.mlp;9.mlp;11.attention;10.attention;2.mlp;7.attention;1.mlp;4.attention;5.attention;4.mlp;16.attention;2.attention;3.attention;14.attention;8.attention;0.mlp;12.attention;18.attention;9.attention
gemma2,695,-2,lars,positive,0.4947073962695296,,20.mlp;3.mlp;0.residual;6.attention;5.mlp;18.mlp;10.mlp;17.attention;8.mlp;1.attention;13.attention;15.attention;19.mlp;11.mlp;6.mlp;0.mlp;7.attention;15.mlp;16.mlp;0.attention;7.mlp;9.mlp;12.mlp;17.mlp;10.attention;19.attention;13.mlp;3.attention;20.attention;1.mlp;14.mlp;14.attention;8.attention;18.attention;2.attention;9.attention;4.mlp;16.attention;2.mlp;5.attention;4.attention;12.attention;11.attention
gemma2,695,-3,lars,negative,0.4930876412975187,,0.residual;3.mlp;20.mlp;6.attention;18.mlp;17.attention;19.mlp;13.attention;15.attention;8.mlp;16.mlp;11.mlp;6.mlp;0.attention;14.mlp;1.attention;10.mlp;15.mlp;5.mlp;13.mlp;19.attention;17.mlp;10.attention;7.mlp;9.mlp;7.attention;20.attention;5.attention;12.mlp;9.attention;11.attention;16.attention;4.attention;2.mlp;2.attention;14.attention;1.mlp;8.attention;4.mlp;3.attention;18.attention;0.mlp;12.attention
gemma2,695,-3,lars,positive,0.1121963911991235,,0.residual;20.mlp;6.attention;0.attention;16.mlp;18.mlp;11.mlp;1.attention;8.mlp;6.mlp;15.mlp;15.attention;1.mlp;19.mlp;17.mlp;12.mlp;9.mlp;18.attention;5.mlp;13.attention;11.attention;13.mlp;10.mlp;0.mlp;5.attention;3.attention;20.attention;19.attention;12.attention;2.mlp;9.attention;16.attention;7.mlp;14.mlp;17.attention;2.attention;4.mlp;10.attention;4.attention;7.attention;14.attention;8.attention;3.mlp
gemma2,3949,-1,lars,negative,0.6236364896940652,,6.attention;20.mlp;0.residual;18.mlp;17.attention;0.attention;8.mlp;14.mlp;15.mlp;11.mlp;3.mlp;13.attention;17.mlp;19.mlp;6.mlp;11.attention;16.mlp;13.mlp;19.attention;0.mlp;1.mlp;7.attention;5.mlp;20.attention;12.mlp;16.attention;15.attention;2.mlp;7.mlp;5.attention;9.mlp;12.attention;2.attention;10.mlp;4.mlp;8.attention;14.attention;1.attention;18.attention;10.attention;4.attention;9.attention;3.attention
gemma2,3949,-1,lars,positive,0.795951872490385,,6.attention;20.mlp;15.mlp;0.residual;17.mlp;11.mlp;14.mlp;13.attention;0.attention;18.mlp;16.attention;7.attention;17.attention;0.mlp;8.mlp;13.mlp;3.mlp;11.attention;10.mlp;9.attention;2.mlp;10.attention;16.mlp;1.mlp;4.attention;9.mlp;4.mlp;15.attention;6.mlp;1.attention;7.mlp;19.mlp;8.attention;5.mlp;18.attention;14.attention;12.mlp;12.attention;19.attention;20.attention;5.attention;3.attention;2.attention
gemma2,3949,-2,lars,negative,0.4479237294695746,,6.attention;20.mlp;3.mlp;0.residual;17.attention;18.mlp;13.attention;19.mlp;6.mlp;15.mlp;15.attention;17.mlp;8.mlp;10.attention;14.mlp;16.mlp;19.attention;13.mlp;12.mlp;9.mlp;1.attention;11.attention;11.mlp;5.mlp;20.attention;7.attention;10.mlp;7.mlp;0.mlp;3.attention;5.attention;1.mlp;0.attention;14.attention;16.attention;12.attention;8.attention;4.mlp;2.attention;9.attention;4.attention;18.attention;2.mlp
gemma2,3949,-2,lars,positive,0.4747816804229151,,6.attention;20.mlp;3.mlp;19.mlp;1.attention;18.mlp;6.mlp;17.attention;15.mlp;13.attention;0.attention;13.mlp;5.mlp;0.residual;7.mlp;11.mlp;15.attention;10.mlp;14.mlp;2.mlp;20.attention;9.mlp;10.attention;9.attention;5.attention;17.mlp;4.attention;3.attention;8.mlp;16.mlp;0.mlp;4.mlp;19.attention;12.attention;12.mlp;14.attention;16.attention;18.attention;1.mlp;11.attention;8.attention;7.attention;2.attention
gemma2,3949,-3,lars,negative,0.5975160494832561,,6.attention;0.residual;20.mlp;18.mlp;3.mlp;17.attention;6.mlp;19.mlp;13.attention;15.attention;17.mlp;9.mlp;15.mlp;10.attention;10.mlp;11.mlp;16.mlp;7.attention;5.mlp;8.mlp;14.mlp;19.attention;0.attention;1.attention;20.attention;13.mlp;7.mlp;4.attention;12.attention;12.mlp;9.attention;2.attention;14.attention;11.attention;4.mlp;5.attention;8.attention;1.mlp;16.attention;2.mlp;0.mlp;3.attention;18.attention
gemma2,3949,-3,lars,positive,0.6868813736494686,,6.attention;20.mlp;0.residual;3.mlp;18.mlp;19.mlp;17.attention;15.attention;15.mlp;0.attention;8.mlp;10.mlp;5.mlp;5.attention;7.mlp;2.mlp;20.attention;17.mlp;14.attention;13.mlp;2.attention;18.attention;13.attention;0.mlp;7.attention;11.mlp;3.attention;1.attention;19.attention;4.mlp;4.attention;1.mlp;10.attention;12.attention;16.mlp;14.mlp;8.attention;6.mlp;9.attention;11.attention;12.mlp;9.mlp;16.attention
gemma2,7988,-1,lars,negative,0.4482648842592861,,20.mlp;3.mlp;6.attention;0.attention;18.mlp;15.mlp;14.mlp;11.mlp;9.mlp;16.mlp;19.mlp;13.attention;8.mlp;3.attention;11.attention;12.mlp;13.mlp;6.mlp;17.mlp;17.attention;7.mlp;7.attention;4.attention;5.mlp;20.attention;10.mlp;19.attention;10.attention;0.residual;5.attention;1.attention;12.attention;15.attention;8.attention;16.attention;18.attention;2.attention;9.attention;4.mlp;14.attention;0.mlp;1.mlp;2.mlp
gemma2,7988,-1,lars,positive,0.6271071644964454,,0.residual;3.mlp;20.mlp;15.mlp;14.mlp;0.mlp;6.attention;13.attention;0.attention;16.mlp;1.mlp;10.attention;11.mlp;3.attention;19.mlp;5.attention;2.mlp;11.attention;17.attention;17.mlp;16.attention;12.mlp;4.attention;13.mlp;9.attention;8.mlp;10.mlp;7.mlp;4.mlp;9.mlp;7.attention;12.attention;14.attention;6.mlp;18.attention;5.mlp;1.attention;19.attention;15.attention;18.mlp;20.attention;2.attention;8.attention
gemma2,7988,-2,lars,negative,0.1599101120048068,,3.mlp;20.mlp;6.attention;17.attention;18.mlp;11.mlp;13.attention;15.mlp;19.mlp;14.mlp;8.mlp;12.mlp;6.mlp;10.attention;16.mlp;4.attention;0.attention;0.residual;9.mlp;3.attention;17.mlp;7.mlp;13.mlp;5.mlp;11.attention;15.attention;10.mlp;1.attention;20.attention;5.attention;19.attention;7.attention;4.mlp;14.attention;1.mlp;2.attention;2.mlp;8.attention;9.attention;0.mlp;18.attention;16.attention;12.attention
gemma2,7988,-2,lars,positive,-0.087593550205324,,20.mlp;3.mlp;6.attention;17.attention;0.residual;13.attention;18.mlp;15.mlp;8.mlp;12.mlp;14.mlp;0.attention;1.attention;11.mlp;5.attention;17.mlp;16.mlp;6.mlp;7.mlp;9.mlp;13.mlp;4.attention;19.mlp;19.attention;20.attention;7.attention;9.attention;15.attention;5.mlp;10.mlp;12.attention;0.mlp;4.mlp;1.mlp;2.attention;8.attention;10.attention;16.attention;2.mlp;11.attention;14.attention;3.attention;18.attention
gemma2,7988,-3,lars,negative,0.4068496286725355,,3.mlp;20.mlp;6.attention;17.attention;0.residual;18.mlp;13.attention;16.mlp;15.mlp;14.mlp;9.mlp;19.mlp;11.mlp;6.mlp;3.attention;0.attention;5.mlp;10.attention;1.attention;4.attention;10.mlp;8.mlp;13.mlp;7.mlp;15.attention;12.mlp;5.attention;17.mlp;7.attention;20.attention;12.attention;19.attention;11.attention;14.attention;9.attention;8.attention;4.mlp;1.mlp;2.attention;18.attention;2.mlp;0.mlp;16.attention
gemma2,7988,-3,lars,positive,0.2710556848341178,,3.mlp;20.mlp;0.residual;6.attention;17.attention;18.mlp;15.mlp;13.attention;14.mlp;11.mlp;6.mlp;10.attention;17.mlp;19.mlp;13.mlp;15.attention;7.mlp;8.mlp;10.mlp;0.mlp;9.mlp;19.attention;0.attention;4.mlp;5.attention;20.attention;11.attention;18.attention;2.mlp;12.mlp;12.attention;14.attention;2.attention;1.mlp;16.mlp;1.attention;8.attention;16.attention;4.attention;3.attention;9.attention;5.mlp;7.attention
gemma2,1161,-1,lars,negative,0.7564318882642729,,6.attention;20.mlp;0.attention;18.mlp;8.mlp;17.attention;19.mlp;6.mlp;17.mlp;11.mlp;13.attention;14.mlp;11.attention;3.mlp;12.mlp;7.attention;16.attention;13.mlp;10.mlp;15.mlp;0.residual;20.attention;9.mlp;16.mlp;19.attention;7.mlp;5.mlp;15.attention;12.attention;5.attention;1.attention;4.attention;8.attention;3.attention;18.attention;14.attention;2.mlp;1.mlp;9.attention;4.mlp;10.attention;0.mlp;2.attention
gemma2,1161,-1,lars,positive,0.4617218425658532,,6.attention;20.mlp;18.mlp;0.residual;0.attention;15.mlp;11.mlp;13.mlp;16.attention;19.mlp;13.attention;17.attention;7.attention;8.mlp;5.attention;6.mlp;9.attention;3.mlp;4.mlp;10.attention;14.mlp;12.mlp;3.attention;11.attention;20.attention;7.mlp;1.mlp;4.attention;10.mlp;16.mlp;14.attention;17.mlp;19.attention;15.attention;12.attention;5.mlp;18.attention;0.mlp;9.mlp;2.mlp;8.attention;2.attention;1.attention
gemma2,1161,-2,lars,negative,0.3894399245764314,,6.attention;20.mlp;3.mlp;17.attention;18.mlp;19.mlp;8.mlp;0.attention;13.attention;17.mlp;11.mlp;20.attention;6.mlp;15.attention;15.mlp;0.residual;14.mlp;16.mlp;12.mlp;13.mlp;1.attention;10.mlp;11.attention;7.mlp;5.mlp;16.attention;7.attention;9.mlp;19.attention;2.mlp;5.attention;10.attention;4.attention;4.mlp;14.attention;2.attention;3.attention;9.attention;8.attention;1.mlp;0.mlp;18.attention;12.attention
gemma2,1161,-2,lars,positive,-0.2214845166846075,,6.attention;20.mlp;3.mlp;0.residual;0.attention;8.mlp;18.mlp;15.mlp;19.mlp;17.attention;2.attention;9.mlp;14.mlp;13.attention;15.attention;7.attention;13.mlp;19.attention;16.attention;5.attention;1.attention;6.mlp;4.attention;12.mlp;20.attention;10.mlp;17.mlp;2.mlp;11.attention;7.mlp;1.mlp;5.mlp;8.attention;18.attention;0.mlp;4.mlp;11.mlp;10.attention;12.attention;14.attention;3.attention;9.attention;16.mlp
gemma2,1161,-3,lars,negative,0.6635706058607906,,6.attention;20.mlp;0.residual;18.mlp;17.attention;0.attention;3.mlp;6.mlp;19.mlp;17.mlp;14.mlp;20.attention;15.attention;10.mlp;13.attention;8.mlp;15.mlp;5.mlp;1.attention;9.mlp;11.mlp;7.mlp;16.attention;16.mlp;7.attention;19.attention;11.attention;13.mlp;12.mlp;10.attention;12.attention;4.mlp;4.attention;2.mlp;5.attention;0.mlp;14.attention;2.attention;18.attention;1.mlp;8.attention;9.attention;3.attention
gemma2,1161,-3,lars,positive,0.6920838744767996,,6.attention;20.mlp;0.residual;3.mlp;18.mlp;11.mlp;0.attention;6.mlp;17.attention;19.attention;19.mlp;14.mlp;8.mlp;7.mlp;15.attention;5.mlp;10.attention;16.mlp;20.attention;1.mlp;10.mlp;13.attention;7.attention;5.attention;1.attention;12.mlp;0.mlp;14.attention;15.mlp;4.mlp;18.attention;13.mlp;11.attention;17.mlp;3.attention;2.attention;9.mlp;12.attention;4.attention;8.attention;16.attention;2.mlp;9.attention
gemma2,8015,-1,lars,negative,0.4613586326929286,,20.mlp;3.mlp;17.attention;0.attention;6.attention;15.mlp;18.mlp;14.mlp;8.mlp;9.mlp;11.mlp;16.mlp;19.mlp;0.residual;13.attention;7.attention;17.mlp;11.attention;6.mlp;3.attention;12.mlp;7.mlp;13.mlp;10.mlp;20.attention;19.attention;15.attention;5.mlp;4.attention;5.attention;10.attention;1.attention;9.attention;16.attention;12.attention;8.attention;2.mlp;14.attention;18.attention;1.mlp;4.mlp;0.mlp;2.attention
gemma2,8015,-1,lars,positive,0.5353885440304793,,0.residual;20.mlp;3.mlp;9.mlp;19.mlp;17.mlp;16.mlp;6.attention;4.mlp;7.attention;1.mlp;5.attention;0.attention;15.attention;1.attention;10.mlp;2.mlp;5.mlp;10.attention;12.mlp;18.attention;18.mlp;14.mlp;17.attention;13.attention;7.mlp;8.attention;15.mlp;6.mlp;11.mlp;13.mlp;9.attention;2.attention;3.attention;11.attention;0.mlp;16.attention;12.attention;4.attention;20.attention;14.attention;19.attention;8.mlp
gemma2,8015,-2,lars,negative,0.4210103203412383,,20.mlp;3.mlp;0.residual;17.attention;13.attention;6.attention;18.mlp;19.mlp;14.mlp;6.mlp;8.mlp;16.mlp;11.mlp;15.mlp;9.mlp;15.attention;17.mlp;7.mlp;13.mlp;12.mlp;5.mlp;3.attention;10.mlp;20.attention;0.attention;10.attention;11.attention;1.attention;19.attention;5.attention;7.attention;4.attention;1.mlp;4.mlp;2.attention;2.mlp;14.attention;18.attention;0.mlp;8.attention;16.attention;9.attention;12.attention
gemma2,8015,-2,lars,positive,0.1978591957810233,,20.mlp;3.mlp;17.attention;19.mlp;6.mlp;0.residual;18.mlp;13.attention;6.attention;12.mlp;13.mlp;4.mlp;8.mlp;14.mlp;15.attention;7.attention;17.mlp;19.attention;10.attention;3.attention;5.mlp;0.attention;1.attention;4.attention;2.mlp;9.mlp;2.attention;0.mlp;12.attention;18.attention;7.mlp;14.attention;11.mlp;11.attention;10.mlp;1.mlp;5.attention;15.mlp;16.attention;8.attention;16.mlp;20.attention;9.attention
